"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,1,150,1,0.01,1,"mae",3,0.6400000000001,0.001,0.017,0.001,-0.027,0.0399999999999636
"2",2,1,150,1,0.01,1,"mae",3,0.9699999999998,0.003,0.036,0.003,-0.041,0.0599999999999454
"3",3,1,150,1,0.01,1,"mae",3,0.859999999999673,0.001,0.001,0.003,-0.028,0.0300000000002001
"4",4,1,150,1,0.01,1,"mae",3,0.670000000000073,0.001,0.018,0.001,-0.024,0.0599999999999454
"5",5,1,150,1,0.01,2,"mae",3,0.659999999999854,0,0.006,0.001,-0.018,0.0399999999999636
"6",6,1,150,1,0.01,1,"mae",3,0.789999999999964,0.004,0.006,0.006,-0.048,0.069999999999709
"7",7,1,150,1,0.01,1,"mae",3,0.740000000000236,0.001,0.018,0.001,-0.029,0.0700000000001637
"8",8,1,150,1,0.01,1,"mae",1,2.77999999999975,0.001,0.019,0.002,-0.029,0.0399999999999636
"9",9,1,150,1,0.01,2,"mae",3,0.630000000000109,0.001,0.018,0.001,-0.032,0.0599999999999454
"10",10,1,150,1,0.01,2,"mae",3,0.950000000000273,0.001,-0.005,0.001,-0.026,0.0399999999999636
"11",11,1,150,1,0.01,1,"mae",2,1.05999999999995,0.002,0.034,0.003,-0.045,0.0399999999999636
"12",12,1,150,1,0.01,1,"mae",3,0.900000000000091,0.002,0.019,0.004,-0.039,0.0599999999999454
"13",13,1,150,1,0.01,2,"mae",3,0.970000000000255,0.001,0.007,0.003,-0.044,0.0599999999999454
"14",14,1,150,1,0.01,2,"mae",3,0.640000000000327,0.002,0.03,0.002,-0.038,0.069999999999709
"15",15,1,150,1,0.01,1,"mae",3,1.11999999999989,0.001,0.007,0.002,-0.032,0.0600000000004002
"16",16,1,150,1,0.01,1,"mae",3,1.00999999999931,0.003,0.036,0.003,-0.045,0.0399999999999636
"17",17,1,150,1,0.01,1,"mae",2,1.0600000000004,0.003,0.015,0.005,-0.038,0.0700000000006185
"18",18,1,150,1,0.01,1,"mae",2,1.72000000000025,0.013,0.059,0.014,-0.067,0.0399999999999636
"19",19,1,150,1,0.01,1,"mae",3,0.890000000000327,0.001,0.027,0.001,-0.035,0.0500000000001819
"20",20,1,150,1,0.01,2,"mae",3,0.969999999999345,0.001,0.002,0.003,-0.028,0.0500000000001819
"21",21,1,150,1,0.01,1,"mae",1,1.42999999999938,0.001,0.006,0.001,-0.024,0.0599999999994907
"22",22,1,150,1,0.01,1,"mae",3,0.6899999999996,0.002,0.026,0.002,-0.04,0.069999999999709
"23",23,1,150,1,0.01,2,"mae",3,0.690000000000509,0,0.015,0.001,-0.022,0.0600000000004002
"24",24,1,150,1,0.01,2,"mae",3,1.39999999999964,0.001,0.004,0.004,-0.036,0.0600000000004002
"25",25,1,150,1,0.01,1,"mae",3,0.779999999999745,0.001,0.004,0.001,-0.022,0.0799999999999272
