"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,2,150,1,0.01,1,"mae",2,4.43000000000029,0.002,0.018,0.006,-0.057,0.069999999999709
"2",2,2,150,1,0.01,1,"mae",3,3.22000000000116,0.01,0.001,0.014,-0.064,0.0800000000017462
"3",3,2,150,1,0.01,1,"mae",3,4.34999999999854,0.002,-0.001,0.007,-0.061,0.069999999999709
"4",4,2,150,1,0.01,1,"mae",3,3.97000000000116,0.006,0.006,0.016,-0.073,0.0900000000001455
"5",5,2,150,1,0.01,1,"mae",3,3.77999999999884,0.005,0.02,0.013,-0.072,0.0599999999976717
"6",6,2,150,1,0.01,1,"mae",2,6.19000000000233,0.001,0.01,0.01,-0.058,0.069999999999709
"7",7,2,150,1,0.01,1,"mae",2,3.90000000000146,0.004,0.001,0.007,-0.05,0.069999999999709
"8",8,2,150,1,0.01,1,"mae",2,3.81000000000495,0.004,0.037,0.011,-0.078,0.069999999999709
"9",9,2,150,1,0.01,1,"mae",3,3.76000000000204,0.006,0.051,0.012,-0.084,0.0599999999976717
"10",10,2,150,1,0.01,1,"mae",3,4.52999999999884,0.004,0.014,0.009,-0.07,0.0600000000049477
"11",11,2,150,1,0.01,1,"mae",3,4.09999999999854,0.005,0.008,0.007,-0.061,0.069999999999709
"12",12,2,150,1,0.01,1,"mae",3,4.58999999999651,0.009,-0.048,0.009,-0.065,0.0500000000029104
"13",13,2,150,1,0.01,2,"mae",2,5.5,0.004,0.028,0.018,-0.075,0.0599999999976717
"14",14,2,150,1,0.01,2,"mae",3,4.91999999999825,0.007,-0.031,0.013,-0.074,0.0599999999976717
"15",15,2,150,1,0.01,1,"mae",3,6.05999999999767,0.001,0.006,0.006,-0.051,0.069999999999709
"16",16,2,150,1,0.01,1,"mae",3,4.77000000000407,0.01,-0.037,0.015,-0.073,0.0800000000017462
"17",17,2,150,1,0.01,1,"mae",3,3.76000000000204,0.007,-0.005,0.01,-0.071,0.0800000000017462
"18",18,2,150,1,0.01,1,"mae",2,3.88999999999942,0.004,0.017,0.01,-0.073,0.069999999999709
"19",19,2,150,1,0.01,1,"mae",2,5.16000000000349,0.009,0.022,0.017,-0.082,0.0900000000037835
"20",20,2,150,1,0.01,2,"mae",2,4.41999999999825,0.008,0.011,0.012,-0.065,0.0599999999976717
"21",21,2,150,1,0.01,2,"mae",2,5.13999999999942,0.002,-0.005,0.007,-0.056,0.069999999999709
"22",22,2,150,1,0.01,1,"mae",1,8.48999999999796,0.004,0.012,0.013,-0.068,0.069999999999709
"23",23,2,150,1,0.01,1,"mae",3,4.61000000000058,0.004,0.036,0.009,-0.075,0.069999999999709
"24",24,2,150,1,0.01,2,"mae",2,3.37000000000262,0.001,-0.004,0.006,-0.053,0.069999999999709
"25",25,2,150,1,0.01,1,"mae",3,4.71999999999389,0.006,-0.022,0.008,-0.061,0.0599999999976717
"26",26,2,150,1,0.01,1,"mae",2,4.18000000000029,0.003,0.022,0.006,-0.06,0.0599999999976717
"27",27,2,150,1,0.01,1,"mae",3,2.83000000000175,0.003,0.009,0.009,-0.056,0.0599999999976717
"28",28,2,150,1,0.01,1,"mae",3,5.22000000000116,0.003,0.021,0.012,-0.072,0.0599999999976717
"29",29,2,150,1,0.01,1,"mae",3,4.30000000000291,0.011,-0.037,0.017,-0.073,0.069999999999709
"30",30,2,150,1,0.01,1,"mae",3,4.2699999999968,0.004,0.017,0.012,-0.068,0.0599999999976717
"31",31,2,150,1,0.01,1,"mae",3,2.69000000000233,0.017,-0.069,0.006,-0.05,0.0600000000049477
"32",32,2,150,1,0.01,1,"mae",2,3.7300000000032,0.003,0.01,0.009,-0.067,0.0599999999976717
"33",33,2,150,1,0.01,2,"mae",3,3.72000000000116,0.008,-0.044,0.005,-0.052,0.0599999999976717
"34",34,2,150,1,0.01,2,"mae",3,3.97000000000116,0.004,0.016,0.01,-0.078,0.069999999999709
"35",35,2,150,1,0.01,1,"mae",2,5.30999999999767,0.004,0.019,0.01,-0.066,0.0599999999976717
"36",36,2,150,1,0.01,1,"mae",3,4.09000000000378,0.006,0.004,0.007,-0.054,0.0600000000049477
"37",37,2,150,1,0.01,2,"mae",2,5.44000000000233,0.003,-0.008,0.01,-0.066,0.0599999999976717
"38",38,2,150,1,0.01,1,"mae",3,4.95000000000437,0.004,0.014,0.014,-0.081,0.069999999999709
"39",39,2,150,1,0.01,1,"mae",3,4.47000000000116,0.006,0.005,0.01,-0.062,0.069999999999709
"40",40,2,150,1,0.01,1,"mae",3,4.44000000000233,0.006,0.043,0.016,-0.084,0.0599999999976717
"41",41,2,150,1,0.01,1,"mae",2,6,0.006,0.013,0.008,-0.055,0.0600000000049477
"42",42,2,150,1,0.01,1,"mae",3,5.09999999999854,0.032,-0.109,0.014,-0.071,0.069999999999709
"43",43,2,150,1,0.01,1,"mae",3,3.30000000000291,0.003,-0.005,0.011,-0.068,0.0599999999976717
"44",44,2,150,1,0.01,1,"mae",1,6.06999999999971,0.009,0.01,0.014,-0.072,0.0799999999944703
"45",45,2,150,1,0.01,1,"mae",3,3.86000000000058,0.008,0.048,0.014,-0.072,0.0800000000017462
"46",46,2,150,1,0.01,1,"mae",3,2.79999999999563,0.014,-0.066,0.006,-0.051,0.0600000000049477
"47",47,2,150,1,0.01,1,"mae",2,4.75,0.003,0.011,0.013,-0.076,0.0599999999976717
"48",48,2,150,1,0.01,1,"mae",3,5.17000000000553,0.005,-0.007,0.01,-0.067,0.0599999999976717
"49",49,2,150,1,0.01,1,"mae",2,4.13999999999942,0.003,-0.019,0.004,-0.043,0.0599999999976717
"50",50,2,150,1,0.01,2,"mae",3,4.20000000000437,0.015,-0.065,0.013,-0.077,0.0599999999976717
