"","id","nX","N","degree","err_red","d","metric","cluster","time","mse_aces","bias_aces","mse_dea","bias_dea","time_dea"
"1",1,2,150,1,0.01,1,"mae",3,5.42000000000007,0.007,-0.056,0.007,-0.058,0.0599999999994907
"2",2,2,150,1,0.01,1,"mae",3,5.10999999999967,0.006,0.002,0.012,-0.072,0.069999999999709
"3",3,2,150,1,0.01,1,"mae",3,4.95000000000073,0.004,-0.011,0.011,-0.066,0.0600000000004002
"4",4,2,150,1,0.01,1,"mae",3,4.23999999999978,0.005,0.005,0.011,-0.071,0.069999999999709
"5",5,2,150,1,0.01,1,"mae",3,4.56999999999971,0.006,-0.021,0.008,-0.057,0.0600000000004002
"6",6,2,150,1,0.01,1,"mae",3,6.67000000000007,0.004,-0.02,0.01,-0.062,0.0799999999999272
"7",7,2,150,1,0.01,1,"mae",3,4.60999999999967,0.003,-0.011,0.005,-0.047,0.069999999999709
"8",8,2,150,1,0.01,1,"mae",3,4.02999999999975,0.009,-0.064,0.006,-0.056,0.069999999999709
"9",9,2,150,1,0.01,2,"mae",3,4.82000000000062,0.012,-0.051,0.008,-0.062,0.0800000000008367
"10",10,2,150,1,0.01,1,"mae",2,5.63000000000011,0.015,-0.044,0.013,-0.071,0.0799999999999272
"11",11,2,150,1,0.01,1,"mae",3,4.55000000000018,0.003,0.003,0.011,-0.07,0.0799999999999272
"12",12,2,150,1,0.01,1,"mae",2,5.15999999999985,0.006,0.015,0.009,-0.068,0.069999999999709
"13",13,2,150,1,0.01,1,"mae",3,5.76000000000022,0.01,-0.009,0.015,-0.084,0.0600000000004002
"14",14,2,150,1,0.01,1,"mae",3,5.34000000000015,0.008,0.003,0.015,-0.085,0.0799999999999272
"15",15,2,150,1,0.01,1,"mae",3,5.17000000000007,0.007,-0.008,0.01,-0.073,0.0600000000004002
"16",16,2,150,1,0.01,1,"mae",3,4.98000000000047,0.003,-0.016,0.011,-0.059,0.069999999999709
"17",17,2,150,1,0.01,1,"mae",3,6.0600000000004,0.011,-0.025,0.015,-0.062,0.0799999999999272
"18",18,2,150,1,0.01,1,"mae",3,4.72000000000025,0.039,-0.141,0.012,-0.076,0.069999999999709
"19",19,2,150,1,0.01,1,"mae",3,4.86999999999989,0.01,-0.006,0.024,-0.093,0.0500000000001819
"20",20,2,150,1,0.01,1,"mae",3,4.39000000000033,0.008,-0.022,0.018,-0.096,0.0600000000004002
"21",21,2,150,1,0.01,1,"mae",2,6.13999999999942,0.009,0.006,0.015,-0.08,0.0600000000004002
"22",22,2,150,1,0.01,1,"mae",3,5.15999999999985,0.011,-0.002,0.016,-0.082,0.0600000000004002
"23",23,2,150,1,0.01,1,"mae",3,6.09000000000015,0.008,-0.02,0.019,-0.093,0.069999999999709
"24",24,2,150,1,0.01,1,"mae",3,4.58999999999924,0.022,-0.073,0.008,-0.069,0.0799999999999272
"25",25,2,150,1,0.01,1,"mae",3,5.55999999999949,0.01,-0.033,0.011,-0.063,0.0600000000004002
"26",26,2,150,1,0.01,1,"mae",2,6.94999999999982,0.003,0.002,0.016,-0.089,0.0600000000004002
"27",27,2,150,1,0.01,1,"mae",3,5.1299999999992,0.009,-0.025,0.011,-0.062,0.0799999999999272
